B2,,
Wavelength (nm),Intensity (a.u.),
380,11.55319881,
381.0599976,14.7765274,
381.9599915,13.83443356,
383.0299988,15.23223591,
383.9299927,16.84032249,
385,19.62738037,
386.0599976,23.65446472,
386.9599915,22.88384819,
388.0299988,27.44519806,
388.9299927,28.17389107,
390,34.15449905,
391.0700073,36.78259277,
392,42.36095047,
393.0700073,45.31954575,
394,51.79963303,
395.0700073,57.29898453,
396,62.51247406,
397.0700073,71.84931183,
398,72.50887299,
399.0700073,84.57478333,
400,90.42883301,
401.0599976,101.0681,
401.9599915,100.1950455,
403.0299988,117.1573944,
403.9299927,120.6089172,
405,133.3149719,
406.0599976,150.5868378,
406.9599915,153.7864227,
408.0299988,167.4164276,
408.9299927,180.6481476,
410,190.3933868,
411.0599976,206.2917786,
411.9599915,210.559494,
413.0299988,222.1578979,
413.9299927,236.6300507,
415,258.6151428,
416.0599976,261.9584961,
416.9599915,281.9915466,
418.0299988,281.2240295,
418.9299927,296.4287415,
420,310.177887,
421.0599976,328.1811218,
421.9599915,337.7566833,
423.0299988,345.5498962,
423.9299927,353.1860046,
425,370.8706055,
426.0599976,382.464447,
426.9599915,380.3148193,
428.0299988,395.9694214,
428.9299927,414.0023804,
430,416.2463074,
431.0599976,439.4728088,
431.9599915,455.7007141,
433.0299988,459.4951477,
433.9299927,463.1183777,
435,471.2175293,
436.0599976,471.7866211,
436.9599915,474.8686829,
438.0299988,484.1351624,
438.9299927,487.7765808,
440,494.3167725,
441.0599976,500.1455688,
441.9599915,498.4543152,
443.0299988,506.7271729,
443.9299927,509.6212769,
445,512.6393433,
446.0599976,524.6599121,
446.9599915,523.8388672,
448.0299988,504.0439453,
448.9299927,514.1715088,
450,517.5701294,
451.0599976,523.2598877,
451.9599915,513.6688843,
453.0299988,530.1921997,
453.9299927,523.4877319,
455,517.2588501,
456.0599976,516.6746216,
456.9599915,523.4122925,
458.0299988,517.1918335,
458.9299927,506.6133728,
460,514.3487549,
461.0599976,506.8713989,
461.9599915,499.5049438,
463.0299988,490.6903076,
463.9299927,496.8227234,
465,490.1607971,
466.0599976,485.2832031,
466.9599915,475.4983521,
468.0299988,469.1440125,
468.9299927,465.3835754,
470,449.7848511,
471.0400085,445.4165955,
471.9400024,448.8743896,
472.980011,449.6473999,
474.019989,437.9425659,
475.0700073,413.5736084,
475.9700012,415.022644,
477.0100098,399.6759338,
478.0499878,398.7909546,
478.9500122,389.6119995,
480,383.7309265,
481.0400085,364.8717041,
481.9400024,362.6799622,
482.980011,360.3318176,
484.019989,346.4742432,
485.0700073,354.8780823,
485.9700012,344.7384949,
487.0100098,322.6478271,
488.0499878,328.6411438,
488.9500122,312.6002502,
490,303.6447754,
491.0599976,304.6089172,
491.9599915,295.3215637,
493.0299988,286.0532837,
493.9299927,291.5863953,
495,266.3213806,
496.0599976,271.5455017,
496.9599915,261.5238953,
498.0299988,261.6266479,
498.9299927,252.1982117,
500,244.1167297,
501.0400085,234.7430878,
501.9400024,233.1643829,
502.980011,221.7609558,
504.019989,216.1587524,
505.0700073,208.2405853,
505.9700012,206.1670532,
507.0100098,198.9952393,
508.0499878,194.183609,
508.9500122,184.2236938,
510,178.4423218,
511.0400085,173.5014343,
511.9400024,168.9288483,
512.9799805,171.2197418,
514.0200195,156.378479,
515.0700073,156.9045563,
515.9699707,153.4084778,
517.0100098,150.1245117,
518.0499878,137.6349792,
518.9500122,138.2941132,
520,131.4836578,
521.0200195,135.7593384,
522.0499878,124.1517334,
522.9400024,123.0935822,
523.9699707,116.9718094,
525,110.310524,
526.0200195,113.1129303,
527.0499878,107.6847382,
527.9400024,107.5781021,
528.9699707,104.2327881,
530,100.1486435,
531.039978,96.00238037,
531.9400024,94.66383362,
532.9799805,89.4896698,
534.0200195,83.16609955,
535.0700073,86.99005127,
535.9699707,83.10720062,
537.0100098,78.29631805,
538.0499878,74.08785248,
538.9500122,74.6962738,
540,72.53902435,
541.0200195,65.7984314,
542.0499878,64.98506927,
542.9400024,63.24233246,
543.9699707,60.65162277,
545,59.31811905,
546.0200195,55.03580856,
547.0499878,55.53754044,
547.9400024,53.93678284,
548.9699707,52.32505035,
550,51.04706192,
551.039978,46.23167419,
551.9400024,45.00752258,
552.9799805,43.86510086,
554.0200195,42.93775177,
555.0700073,42.00310898,
555.9699707,41.63424683,
557.0100098,40.23278046,
558.0499878,39.74889374,
558.9500122,38.06694794,
560,33.46751022,
561.0200195,31.84454155,
562.0499878,32.29931259,
562.9400024,30.16454697,
563.9699707,30.04789543,
565,29.02788544,
566.0200195,29.09590721,
567.0499878,24.95779991,
567.9400024,25.98373604,
568.9699707,26.20668793,
570,24.87192726,
571.0200195,23.70778084,
572.0499878,22.80659294,
572.9400024,21.22251511,
573.9699707,21.63658714,
575,20.77464676,
576.0200195,20.10338974,
577.0499878,18.77146149,
577.9400024,19.5188446,
578.9699707,16.20899773,
580,16.4648838,

B2,
B2
Collection Time: 10/30/2025 5:17:41 PM
Operator Name  :
Scan Software Version: 1.2(147)
Parameter List :
Instrument                        Cary Eclipse
Instrument Serial Number          MY14470004
Data mode                         Fluorescence
Scan mode                         Emission
X Mode                            Wavelength (nm)
Start (nm)                        380.00
Stop (nm)                         580.00
Ex. Wavelength (nm)               350.00
Ex. Slit (nm)                     2.5
Em. Slit (nm)                     5
Scan rate (nm/min)                600.00
Data interval (nm)                1.0000
Averaging Time (s)                0.1000
Excitation filter                 Auto
Emission filter                   Open
PMT voltage (V)                   Medium
Corrected spectra                 OFF
Method Log     :
Method Name    : C:\Users\Public\Documents\Agilent\Cary Eclipse WInFLR\Default.FMSW
Date/Time stamp: 10/30/2025 2:51:52 PM
Method Modifications:
Overlayed Graphs Changed: 10/30/2025 2:52:11 PM, Old:OFF, New:ON
Autoconvert Changed: 10/30/2025 2:52:11 PM, Old:None, New:Ascii with Log
Ex. Slit Width (nm): Changed: 10/30/2025 2:52:11 PM, Old:5, New:2.5
Emission Wavelength Changed: 10/30/2025 2:52:11 PM, Old: 400.00, New: 380.00
Stop Wavelength Changed: 10/30/2025 2:52:11 PM, Old: 600.00, New: 580.00
Scan mode: Changed: 10/30/2025 5:02:27 PM, Old:Emission, New:Excitation
User Delta Increment Changed: 10/30/2025 5:02:27 PM, Old:  10.00, New:   0.15
Excitation Wavelength Changed: 10/30/2025 5:02:27 PM, Old: 350.00, New: 230.00
Emission Wavelength Changed: 10/30/2025 5:02:27 PM, Old: 380.00, New: 450.00
Stop Wavelength Changed: 10/30/2025 5:02:27 PM, Old: 580.00, New: 420.00
Scan mode: Changed: 10/30/2025 5:06:35 PM, Old:Excitation, New:Emission
Excitation Wavelength Changed: 10/30/2025 5:06:35 PM, Old: 230.00, New: 350.00
Emission Wavelength Changed: 10/30/2025 5:06:35 PM, Old: 450.00, New: 380.00
Stop Wavelength Changed: 10/30/2025 5:06:35 PM, Old: 420.00, New: 580.00
End Method Modifications

