B1,,
Wavelength (nm),Intensity (a.u.),
380,14.86694622,
381.0599976,16.40044785,
381.9599915,18.89575195,
383.0299988,19.63850975,
383.9299927,21.59448624,
385,24.8628273,
386.0599976,25.16285706,
386.9599915,28.37965584,
388.0299988,34.10305786,
388.9299927,36.4088707,
390,42.24209213,
391.0700073,43.48288727,
392,47.22209549,
393.0700073,56.03659821,
394,60.90343475,
395.0700073,65.6158905,
396,74.14328766,
397.0700073,80.90260315,
398,88.75308228,
399.0700073,98.31827545,
400,100.530777,
401.0599976,116.1763153,
401.9599915,128.9091034,
403.0299988,129.9303131,
403.9299927,152.7286224,
405,160.9273682,
406.0599976,166.1771698,
406.9599915,186.4886475,
408.0299988,200.1543274,
408.9299927,212.6117401,
410,223.3968811,
411.0599976,244.9593506,
411.9599915,250.8723755,
413.0299988,262.0378113,
413.9299927,282.1451721,
415,298.0863342,
416.0599976,308.550293,
416.9599915,328.3384399,
418.0299988,344.8059998,
418.9299927,352.2414246,
420,358.8761902,
421.0599976,395.1309814,
421.9599915,384.6046448,
423.0299988,402.2262573,
423.9299927,423.9694519,
425,436.946167,
426.0599976,448.7417908,
426.9599915,458.9562378,
428.0299988,469.7081604,
428.9299927,475.901123,
430,487.5342712,
431.0599976,500.2767944,
431.9599915,514.2234497,
433.0299988,517.8078003,
433.9299927,525.8168335,
435,537.4781494,
436.0599976,542.1226196,
436.9599915,539.4926147,
438.0299988,562.9202881,
438.9299927,570.805481,
440,577.6895752,
441.0599976,571.9949341,
441.9599915,585.1969604,
443.0299988,587.967041,
443.9299927,583.8369751,
445,592.2177734,
446.0599976,581.1380005,
446.9599915,594.8250122,
448.0299988,600.2261353,
448.9299927,599.9037476,
450,597.1865234,
451.0599976,588.6100464,
451.9599915,596.5127563,
453.0299988,582.6391602,
453.9299927,591.2285156,
455,576.7927246,
456.0599976,595.0696411,
456.9599915,585.1669312,
458.0299988,592.0357056,
458.9299927,554.0235596,
460,572.3415527,
461.0599976,577.3922729,
461.9599915,559.5334473,
463.0299988,566.6352539,
463.9299927,553.7411499,
465,563.4729004,
466.0599976,546.0338135,
466.9599915,541.190918,
468.0299988,529.9110107,
468.9299927,541.4622803,
470,528.3410645,
471.0400085,521.1002197,
471.9400024,509.7786865,
472.980011,490.8865967,
474.019989,505.3955994,
475.0700073,489.8968506,
