C2,,
Wavelength (nm),Intensity (a.u.),
380,12.88462925,
381.0599976,15.02616405,
381.9599915,15.67628765,
383.0299988,18.82854462,
383.9299927,18.72781944,
385,21.76667976,
386.0599976,24.6010437,
386.9599915,27.56295013,
388.0299988,29.88799477,
388.9299927,32.48511124,
390,38.23020172,
391.0700073,40.48328018,
392,49.31773376,
393.0700073,50.1126709,
394,58.77307129,
395.0700073,60.39734268,
396,69.83816528,
397.0700073,78.08444977,
398,84.89601135,
399.0700073,85.46699524,
400,98.67389679,
401.0599976,102.1978073,
401.9599915,114.1371689,
403.0299988,127.4609985,
403.9299927,135.4297028,
405,145.5099335,
406.0599976,157.2375946,
406.9599915,165.3922424,
408.0299988,178.0853119,
408.9299927,190.8251648,
410,200.3786316,
411.0599976,214.3279114,
411.9599915,228.1681824,
413.0299988,247.4088593,
413.9299927,255.5218658,
415,271.3047791,
416.0599976,274.6549988,
416.9599915,294.9732971,
418.0299988,305.7378845,
418.9299927,316.8868103,
420,328.4055176,
421.0599976,342.2418213,
421.9599915,356.2179871,
423.0299988,362.2929077,
423.9299927,372.5611267,
425,388.3972778,
426.0599976,406.2936401,
426.9599915,408.1613464,
428.0299988,426.2845764,
428.9299927,437.6401978,
430,436.3605347,
431.0599976,452.5300903,
431.9599915,467.8684387,
433.0299988,471.7826538,
433.9299927,477.8815308,
435,478.6337891,
436.0599976,498.5544128,
436.9599915,496.1988831,
438.0299988,507.9733582,
438.9299927,516.258606,
440,529.788269,
441.0599976,521.9923706,
441.9599915,536.487915,
443.0299988,533.9301758,
443.9299927,533.5402222,
445,533.4691162,
446.0599976,542.491333,
446.9599915,545.861084,
448.0299988,543.9604492,
448.9299927,549.6499634,
450,538.052002,
451.0599976,549.7449951,
451.9599915,546.5137939,
453.0299988,552.3678589,
453.9299927,547.6693115,
455,545.2995605,
456.0599976,554.8806763,
456.9599915,550.1320801,
458.0299988,543.9759521,
458.9299927,537.3543701,
460,536.3864136,
461.0599976,535.2841797,
461.9599915,529.0906982,
463.0299988,518.5161743,
463.9299927,522.8861694,
465,502.2810059,
466.0599976,507.9657288,
466.9599915,506.0067139,
468.0299988,486.5345154,
468.9299927,484.5094299,
470,486.2182922,
471.0400085,481.6427002,
471.9400024,472.8943787,
472.980011,470.2004089,
474.019989,455.1732788,
475.0700073,434.5219727,
475.9700012,444.6044617,
477.0100098,438.621582,
478.0499878,421.8137512,
478.9500122,412.8790894,
480,402.1904602,
481.0400085,390.0570679,
481.9400024,392.3213806,
482.980011,385.2131653,
484.019989,371.7444153,
485.0700073,364.5499878,
485.9700012,366.459259,
487.0100098,347.2207336,
488.0499878,339.4774475,
488.9500122,333.2041931,
490,320.0991516,
491.0599976,317.1324463,
491.9599915,303.1931152,
493.0299988,306.0658264,
493.9299927,300.469635,
495,289.6120605,
496.0599976,317.8036499,
496.9599915,304.8307495,
498.0299988,303.9569702,
498.9299927,294.1679077,
500,278.645752,
501.0400085,271.8779297,
501.9400024,263.2243652,
502.980011,266.5687256,
504.019989,263.0219727,
505.0700073,243.5015869,
505.9700012,243.1317444,
507.0100098,232.3777771,
508.0499878,224.5825653,
508.9500122,218.5462646,
510,217.3038025,
511.0400085,205.3261871,
511.9400024,197.4109039,
512.9799805,187.5448761,
514.0200195,181.83461,
515.0700073,175.9483337,
515.9699707,176.9802551,
517.0100098,166.0561066,
518.0499878,162.0817261,
518.9500122,157.9401855,
520,152.5102997,
521.0200195,145.6535645,
522.0499878,138.8947296,
522.9400024,135.9497986,
523.9699707,134.9700623,
525,127.480072,
526.0200195,127.4872437,
527.0499878,116.6542587,
527.9400024,114.6416855,
528.9699707,112.3314514,
530,110.2404861,
531.039978,102.2608261,
531.9400024,100.2228546,
532.9799805,96.12067413,
534.0200195,97.3158493,
535.0700073,90.17243958,
535.9699707,90.3128891,
537.0100098,85.41747284,
538.0499878,86.35708618,
538.9500122,81.92745209,
540,78.28329468,
541.0200195,75.00758362,
542.0499878,74.7442627,
542.9400024,70.32387543,
543.9699707,69.12889099,
545,66.32707977,
546.0200195,64.12672424,
547.0499878,60.00030518,
547.9400024,58.87080765,
548.9699707,55.02994919,
550,51.11148453,
551.039978,50.44627762,
551.9400024,53.25098419,
552.9799805,49.50418854,
554.0200195,49.75283051,
555.0700073,44.92217255,
555.9699707,42.9731102,
557.0100098,40.9277153,
558.0499878,41.29113388,
558.9500122,41.31253433,
560,40.09244919,
561.0200195,38.43106461,
562.0499878,37.09792709,
562.9400024,34.89932632,
563.9699707,34.61544037,
565,31.17921638,
566.0200195,32.81549072,
567.0499878,30.4380455,
567.9400024,30.14885139,
568.9699707,28.9197979,
570,28.97098351,
571.0200195,27.63965607,
572.0499878,27.27025604,
572.9400024,24.26688957,
573.9699707,26.13137054,
575,24.52938652,
576.0200195,22.78248978,
577.0499878,23.18309212,
577.9400024,20.6392498,
578.9699707,20.76472664,
580,20.09694481,

C2,
C2
Collection Time: 10/30/2025 5:28:13 PM
Operator Name  :
Scan Software Version: 1.2(147)
Parameter List :
Instrument                        Cary Eclipse
Instrument Serial Number          MY14470004
Data mode                         Fluorescence
Scan mode                         Emission
X Mode                            Wavelength (nm)
