B4,,
Wavelength (nm),Intensity (a.u.),
380,14.73778534,
381.0599976,15.73735619,
381.9599915,17.60594749,
383.0299988,19.33566093,
383.9299927,19.5678997,
385,21.55747795,
386.0599976,22.26583099,
386.9599915,23.68704605,
388.0299988,25.97698784,
388.9299927,24.99924088,
390,27.64703178,
391.0700073,30.0326767,
392,30.84521294,
393.0700073,37.41339493,
394,38.20649338,
395.0700073,44.53373718,
396,46.75312805,
397.0700073,51.35188675,
398,54.89875031,
399.0700073,59.43286896,
400,64.350914,
401.0599976,71.70404053,
401.9599915,74.28746796,
403.0299988,77.91986847,
403.9299927,89.87210083,
405,90.57976532,
406.0599976,95.22775269,
406.9599915,101.9279022,
408.0299988,108.8433228,
408.9299927,115.4861374,
410,123.9684982,
411.0599976,131.6429291,
411.9599915,132.887207,
413.0299988,143.0013733,
413.9299927,149.1092377,
415,154.9356842,
416.0599976,164.6240997,
416.9599915,175.041748,
418.0299988,180.8839874,
418.9299927,187.5104065,
420,192.6549377,
421.0599976,201.3940582,
421.9599915,203.1859741,
423.0299988,210.5118408,
423.9299927,225.7434387,
425,226.1420746,
426.0599976,233.8234406,
426.9599915,235.6751556,
428.0299988,249.6028442,
428.9299927,246.0419312,
430,257.384613,
431.0599976,264.5644836,
431.9599915,270.1798401,
433.0299988,279.8554077,
433.9299927,288.8357544,
435,282.5877991,
436.0599976,294.2491455,
436.9599915,290.5637512,
438.0299988,296.7206421,
438.9299927,303.5542603,
440,301.2204285,
441.0599976,298.5741882,
441.9599915,313.5908813,
443.0299988,296.7808533,
443.9299927,307.571106,
445,308.2112732,
446.0599976,314.9637146,
446.9599915,321.3644714,
448.0299988,301.3897095,
448.9299927,314.1335144,
450,315.78125,
451.0599976,321.1064453,
451.9599915,317.4568787,
453.0299988,312.5135803,
453.9299927,316.5281372,
455,318.1633911,
456.0599976,321.9941101,
456.9599915,315.292572,
458.0299988,305.286377,
458.9299927,315.7886658,
460,308.4257507,
461.0599976,301.7201538,
461.9599915,303.5884399,
463.0299988,306.5141907,
463.9299927,299.6816711,
465,298.0712891,
466.0599976,293.1182251,
466.9599915,288.6148071,
468.0299988,284.1986084,
468.9299927,287.0250854,
470,276.1678162,
471.0400085,267.0421143,
471.9400024,274.5750427,
472.980011,259.2917786,
474.019989,264.3813782,
475.0700073,257.6019592,
475.9700012,253.3360138,
477.0100098,247.9875946,
478.0499878,241.624054,
478.9500122,239.9210663,
480,232.1958618,
481.0400085,226.366272,
481.9400024,225.3803101,
482.980011,218.318634,
484.019989,219.3614807,
485.0700073,206.9613647,
485.9700012,199.1326599,
487.0100098,200.397522,
488.0499878,196.7586823,
488.9500122,193.664505,
490,189.3546143,
491.0599976,185.2530365,
491.9599915,180.5443268,
493.0299988,174.9525146,
493.9299927,170.9470825,
495,164.388916,
496.0599976,163.3081055,
496.9599915,156.8758698,
498.0299988,153.9481506,
498.9299927,145.0852814,
500,149.9259796,
501.0400085,138.2395172,
501.9400024,144.1361542,
502.980011,131.6749878,
504.019989,125.0820007,
505.0700073,129.897522,
505.9700012,123.5005188,
507.0100098,115.9471817,
508.0499878,115.1735001,
508.9500122,112.3175583,
510,108.8474121,
511.0400085,107.583992,
511.9400024,103.4989471,
512.9799805,98.91422272,
514.0200195,98.88282013,
515.0700073,93.76911163,
515.9699707,92.85222626,
517.0100098,86.43938446,
518.0499878,85.29026794,
518.9500122,85.77619171,
520,79.48983765,
521.0200195,78.50158691,
522.0499878,75.5885849,
522.9400024,69.85587311,
523.9699707,74.24789429,
525,67.24819946,
526.0200195,64.67223358,
527.0499878,63.53330612,
527.9400024,60.70681763,
528.9699707,57.66805267,
530,55.16918182,
531.039978,55.44373322,
531.9400024,56.11816788,
532.9799805,55.13469315,
534.0200195,50.81878281,
535.0700073,48.60971069,
535.9699707,45.65921402,
537.0100098,49.71800613,
538.0499878,46.29888535,
538.9500122,41.79756546,
540,41.54988098,
541.0200195,39.21961975,
542.0499878,41.05393219,
542.9400024,36.9791832,
543.9699707,37.16547012,
545,34.43782425,
546.0200195,32.70840454,
547.0499878,33.03769684,
547.9400024,28.5270977,
548.9699707,31.77428246,
550,29.6548214,
551.039978,29.84889221,
551.9400024,27.70031548,
552.9799805,27.69895172,
554.0200195,25.63511467,
555.0700073,25.02057076,
555.9699707,26.09407997,
557.0100098,22.73283958,
558.0499878,22.5779705,
558.9500122,21.46508217,
560,22.87275505,
561.0200195,18.48020744,
562.0499878,18.37806702,
562.9400024,20.56523323,
563.9699707,20.0033989,
565,17.16771317,
566.0200195,17.12381744,
567.0499878,18.46399498,
567.9400024,16.41625023,
568.9699707,16.15049362,
570,15.40903282,
571.0200195,13.45913982,
572.0499878,15.40867805,
572.9400024,14.81237602,
573.9699707,13.15385532,
575,13.38567066,
576.0200195,12.53556824,
577.0499878,12.13259602,
577.9400024,11.96901035,
578.9699707,10.71044445,
580,11.36664391,

B4,
B4
Collection Time: 10/30/2025 5:12:59 PM
Operator Name  :
Scan Software Version: 1.2(147)
Parameter List :
Instrument                        Cary Eclipse
Instrument Serial Number          MY14470004
Data mode                         Fluorescence
Scan mode                         Emission
X Mode                            Wavelength (nm)
Start (nm)                        380.00
Stop (nm)                         580.00
Ex. Wavelength (nm)               350.00
Ex. Slit (nm)                     2.5
Em. Slit (nm)                     5
Scan rate (nm/min)                600.00
Data interval (nm)                1.0000
Averaging Time (s)                0.1000
Excitation filter                 Auto
Emission filter                   Open
PMT voltage (V)                   Medium
Corrected spectra                 OFF
Method Log     :
Method Name    : C:\Users\Public\Documents\Agilent\Cary Eclipse WInFLR\Default.FMSW
Date/Time stamp: 10/30/2025 2:51:52 PM
Method Modifications:
