C5,,
Wavelength (nm),Intensity (a.u.),
380,10.6048193,
381.0599976,12.55850124,
381.9599915,11.6494112,
383.0299988,13.64288521,
383.9299927,12.9564724,
385,13.49413586,
386.0599976,15.93276119,
386.9599915,17.5065136,
388.0299988,15.41385174,
388.9299927,16.27383232,
390,19.14660835,
391.0700073,18.30907631,
392,20.60308266,
393.0700073,22.17111588,
394,23.5416851,
395.0700073,24.18220711,
396,26.92744637,
397.0700073,28.57705498,
398,31.39765167,
399.0700073,34.68366623,
400,32.5547142,
401.0599976,35.86429596,
401.9599915,37.88143158,
403.0299988,37.42946625,
403.9299927,44.41223145,
405,45.95824051,
406.0599976,44.91564941,
406.9599915,46.98077774,
408.0299988,54.39832687,
408.9299927,52.30661774,
410,56.02163696,
411.0599976,62.51341248,
411.9599915,63.42732239,
413.0299988,67.20790863,
413.9299927,69.08084106,
415,69.49020386,
416.0599976,75.36470032,
416.9599915,80.9386673,
418.0299988,81.73641205,
418.9299927,82.78069305,
420,86.86358643,
421.0599976,87.33140564,
421.9599915,95.80010223,
423.0299988,95.36573029,
423.9299927,100.1699677,
425,103.3927231,
426.0599976,108.2781296,
426.9599915,108.124054,
428.0299988,113.7687302,
428.9299927,114.4959946,
430,115.2016754,
431.0599976,121.2283936,
431.9599915,116.8405075,
433.0299988,122.3952255,
433.9299927,126.3228378,
435,122.1484985,
436.0599976,128.3619843,
436.9599915,127.6814041,
438.0299988,133.4342957,
438.9299927,133.311676,
440,139.1153564,
441.0599976,136.5124817,
441.9599915,139.5959473,
443.0299988,139.8942261,
443.9299927,135.606369,
445,138.6391296,
446.0599976,138.8935547,
446.9599915,141.6541138,
448.0299988,142.9756775,
448.9299927,139.642395,
450,142.6213074,
451.0599976,143.0293427,
451.9599915,143.6411285,
453.0299988,137.4490967,
453.9299927,145.6438751,
455,140.1353149,
456.0599976,139.8321533,
456.9599915,139.5980682,
458.0299988,138.8939972,
458.9299927,135.3735657,
460,137.9835358,
461.0599976,135.4633942,
461.9599915,139.4121246,
463.0299988,135.2283783,
463.9299927,128.9410248,
465,129.8349304,
466.0599976,130.0155487,
466.9599915,129.6336517,
468.0299988,128.3262482,
468.9299927,127.7991104,
470,120.7233658,
471.0400085,118.1862793,
471.9400024,118.6769257,
472.980011,115.8834763,
474.019989,113.3679581,
475.0700073,108.3108292,
475.9700012,111.0840836,
477.0100098,116.6747971,
478.0499878,104.7128525,
478.9500122,102.2446976,
480,103.700264,
481.0400085,101.6457977,
481.9400024,98.88819122,
482.980011,96.31156921,
484.019989,92.42378235,
485.0700073,93.86248779,
485.9700012,94.8927536,
487.0100098,89.98568726,
488.0499878,86.38944244,
488.9500122,86.30516815,
490,82.24177551,
491.0599976,78.1990509,
491.9599915,78.67362213,
493.0299988,74.68397522,
493.9299927,75.71466827,
495,73.55466461,
496.0599976,70.07461548,
496.9599915,69.27264404,
498.0299988,66.04838562,
498.9299927,64.35482788,
500,66.21035767,
501.0400085,62.92485428,
501.9400024,60.06694412,
502.980011,60.49598312,
504.019989,53.79927444,
505.0700073,55.49599838,
505.9700012,54.33471298,
507.0100098,53.37507629,
508.0499878,52.2212944,
508.9500122,52.99155807,
510,48.38985062,
511.0400085,45.60634995,
511.9400024,45.19503784,
512.9799805,44.07772446,
514.0200195,43.06005478,
515.0700073,44.55783081,
515.9699707,42.25979233,
517.0100098,36.66292191,
518.0499878,37.96871567,
518.9500122,37.78662872,
520,36.94630432,
521.0200195,34.16215897,
522.0499878,32.42961502,
522.9400024,32.61165237,
523.9699707,33.78752518,
525,29.01021194,
526.0200195,29.46888351,
527.0499878,28.2137413,
527.9400024,27.59290123,
528.9699707,26.98591423,
530,27.23443413,
531.039978,23.89658356,
531.9400024,24.2236042,
532.9799805,22.65243149,
534.0200195,22.96640396,
535.0700073,23.75235176,
535.9699707,22.68647766,
537.0100098,20.98180771,
538.0499878,21.81940651,
538.9500122,19.11186981,
540,19.66236305,
541.0200195,18.95676804,
542.0499878,18.55846596,
542.9400024,18.60358429,
543.9699707,16.42036057,
545,14.49363804,
546.0200195,16.20653915,
547.0499878,14.0093708,
547.9400024,14.30321598,
548.9699707,13.83188248,
550,13.13228798,
551.039978,12.73174667,
551.9400024,11.53881168,
552.9799805,11.91976547,
554.0200195,12.75097847,
555.0700073,11.81838894,
555.9699707,11.91981506,
557.0100098,11.44607162,
558.0499878,9.923947334,
558.9500122,10.16668987,
560,8.885437012,
561.0200195,8.811732292,
562.0499878,8.192042351,
562.9400024,8.832565308,
563.9699707,8.665882111,
565,8.261924744,
566.0200195,8.321605682,
567.0499878,7.597239971,
567.9400024,6.524435997,
568.9699707,7.977402687,
570,7.205640316,
571.0200195,6.133479118,
572.0499878,6.689584732,
572.9400024,6.06098175,
573.9699707,5.946801662,
575,5.244511604,
576.0200195,6.317216873,
577.0499878,5.862505913,
577.9400024,7.23409605,
578.9699707,5.13578558,
580,4.73139143,

C5,
C5
Collection Time: 10/30/2025 5:21:30 PM
Operator Name  :
Scan Software Version: 1.2(147)
Parameter List :
Instrument                        Cary Eclipse
Instrument Serial Number          MY14470004
Data mode                         Fluorescence
Scan mode                         Emission
X Mode                            Wavelength (nm)
Start (nm)                        380.00
Stop (nm)                         580.00
Ex. Wavelength (nm)               350.00
Ex. Slit (nm)                     2.5
Em. Slit (nm)                     5
Scan rate (nm/min)                600.00
Data interval (nm)                1.0000
Averaging Time (s)                0.1000
Excitation filter                 Auto
Emission filter                   Open
PMT voltage (V)                   Medium
Corrected spectra                 OFF
Method Log     :
Method Name    : C:\Users\Public\Documents\Agilent\Cary Eclipse WInFLR\Default.FMSW
Date/Time stamp: 10/30/2025 2:51:52 PM
Method Modifications:
Overlayed Graphs Changed: 10/30/2025 2:52:11 PM, Old:OFF, New:ON
Autoconvert Changed: 10/30/2025 2:52:11 PM, Old:None, New:Ascii with Log
Ex. Slit Width (nm): Changed: 10/30/2025 2:52:11 PM, Old:5, New:2.5
