B6,,
Wavelength (nm),Intensity (a.u.),
380,8.426803589,
381.0599976,8.159220695,
381.9599915,8.329307556,
383.0299988,9.321633339,
383.9299927,8.822395325,
385,8.292515755,
386.0599976,9.520435333,
386.9599915,8.919301987,
388.0299988,9.670689583,
388.9299927,10.1952858,
390,10.67057228,
391.0700073,9.178859711,
392,9.751665115,
393.0700073,11.75002289,
394,10.66525841,
395.0700073,12.23180866,
396,13.77487087,
397.0700073,11.84582233,
398,12.91566181,
399.0700073,12.66264248,
400,13.07970238,
401.0599976,13.27941895,
401.9599915,13.6245575,
403.0299988,11.76667595,
403.9299927,12.47825718,
405,10.22309113,
406.0599976,10.26762676,
406.9599915,10.84383392,
408.0299988,11.83550358,
408.9299927,11.97236252,
410,11.48851967,
411.0599976,12.40493202,
411.9599915,11.80897522,
413.0299988,13.30522537,
413.9299927,13.59255886,
415,12.96903133,
416.0599976,12.86917877,
416.9599915,13.31406879,
418.0299988,13.19370747,
418.9299927,12.95876503,
420,13.86620617,
421.0599976,11.93268871,
421.9599915,14.07334614,
423.0299988,13.19687176,
423.9299927,13.48192024,
425,12.17772865,
426.0599976,14.00504303,
426.9599915,15.42380524,
428.0299988,14.8315506,
428.9299927,15.46511078,
430,15.0322237,
431.0599976,14.9798317,
431.9599915,14.18792725,
433.0299988,15.81540489,
433.9299927,15.65768337,
435,14.56546879,
436.0599976,15.56360531,
436.9599915,15.37296486,
438.0299988,15.97567463,
438.9299927,16.59396935,
440,16.12779236,
441.0599976,15.04058838,
441.9599915,15.13661098,
443.0299988,16.48846245,
443.9299927,15.34217644,
445,14.85148525,
446.0599976,15.90692806,
446.9599915,13.58170223,
448.0299988,14.04828739,
448.9299927,14.43049145,
450,14.72419453,
451.0599976,15.1541357,
451.9599915,15.23179817,
453.0299988,15.43832397,
453.9299927,14.68570709,
455,15.62111473,
456.0599976,15.26299286,
456.9599915,14.99828339,
458.0299988,15.45914936,
458.9299927,15.1572504,
460,14.25498772,
461.0599976,13.70442963,
461.9599915,12.88624096,
463.0299988,14.57385349,
463.9299927,12.21964264,
465,13.89653206,
466.0599976,13.60410976,
466.9599915,11.48141289,
468.0299988,12.26483536,
468.9299927,12.36580658,
470,13.55610561,
471.0400085,12.14402866,
471.9400024,12.57146358,
472.980011,12.88628101,
474.019989,12.73061848,
475.0700073,10.32403469,
475.9700012,10.88114834,
477.0100098,12.37447548,
478.0499878,11.25640392,
478.9500122,12.46875286,
480,11.70576382,
481.0400085,10.3476696,
481.9400024,10.15435219,
482.980011,8.768445969,
484.019989,9.95621109,
485.0700073,10.49489212,
485.9700012,8.72142601,
487.0100098,9.142184258,
488.0499878,7.935880661,
488.9500122,8.409414291,
490,8.996753693,
491.0599976,8.367302895,
491.9599915,7.887885094,
493.0299988,7.38715744,
493.9299927,7.876997948,
495,7.573794842,
496.0599976,7.669478416,
496.9599915,7.143951893,
498.0299988,7.950900078,
498.9299927,6.421691418,
500,7.585432529,
501.0400085,6.802721024,
501.9400024,6.432534695,
502.980011,6.655070782,
504.019989,6.919996738,
505.0700073,5.524021149,
505.9700012,5.275974274,
507.0100098,5.158178806,
508.0499878,6.247612953,
508.9500122,4.755393505,
510,5.445032597,
511.0400085,5.258141041,
511.9400024,5.906301022,
512.9799805,4.515999317,
514.0200195,4.600476742,
515.0700073,5.020524979,
515.9699707,4.428353786,
517.0100098,4.735728264,
518.0499878,3.182587385,
518.9500122,4.80058527,
520,3.767368793,
521.0200195,4.613329887,
522.0499878,4.045258045,
522.9400024,3.714653969,
523.9699707,3.034557581,
525,3.295118093,
526.0200195,2.97609973,
527.0499878,3.10223484,
527.9400024,3.558437347,
528.9699707,2.973489046,
530,2.404476166,
531.039978,2.491579294,
531.9400024,2.380877733,
532.9799805,2.912393332,
534.0200195,3.142501354,
535.0700073,2.006688833,
535.9699707,1.928715944,
537.0100098,1.876085281,
538.0499878,1.456858277,
538.9500122,1.889568686,
540,2.051297665,
