C4,,
Wavelength (nm),Intensity (a.u.),
380,14.27710533,
381.0599976,15.55954456,
381.9599915,16.1008358,
383.0299988,16.30628014,
383.9299927,17.34103966,
385,22.0828228,
386.0599976,21.05200386,
386.9599915,21.17266273,
388.0299988,26.51325607,
388.9299927,25.70533943,
390,27.06159782,
391.0700073,29.8429718,
392,33.00344849,
393.0700073,35.56893921,
394,38.57162094,
395.0700073,43.77119827,
396,44.1598053,
397.0700073,50.31484604,
398,52.85707855,
399.0700073,57.11200333,
400,64.49556732,
401.0599976,69.01717377,
401.9599915,69.58139038,
403.0299988,77.25891113,
403.9299927,83.61500549,
405,85.85002136,
406.0599976,91.07907104,
406.9599915,97.31563568,
408.0299988,102.0876389,
408.9299927,111.3986435,
410,116.8237,
411.0599976,122.5619583,
411.9599915,125.9785156,
413.0299988,136.6478271,
413.9299927,140.1863403,
415,149.5602112,
416.0599976,152.4174194,
416.9599915,161.9189606,
418.0299988,167.7581635,
418.9299927,175.1855164,
420,185.3061066,
421.0599976,190.9799805,
421.9599915,194.2512665,
423.0299988,202.662323,
423.9299927,210.0813293,
425,213.2947083,
426.0599976,221.5690155,
426.9599915,227.2145538,
428.0299988,231.3708801,
428.9299927,236.4689178,
430,238.9284363,
431.0599976,252.6987457,
431.9599915,255.1452484,
433.0299988,254.4740753,
433.9299927,266.7515869,
435,262.1860046,
436.0599976,273.2797546,
436.9599915,269.7861938,
438.0299988,279.8800049,
438.9299927,283.0165405,
440,284.8537292,
441.0599976,285.5437622,
441.9599915,286.9075623,
443.0299988,290.2385254,
443.9299927,286.6569214,
445,290.6707764,
446.0599976,302.798645,
446.9599915,296.5341187,
448.0299988,295.7792664,
448.9299927,298.6928711,
450,293.532196,
451.0599976,293.9507141,
451.9599915,298.059967,
453.0299988,291.2384338,
453.9299927,301.4416809,
455,287.0064087,
456.0599976,300.9450378,
456.9599915,301.050293,
458.0299988,296.446167,
458.9299927,294.959137,
460,293.9717102,
461.0599976,290.7164001,
461.9599915,282.463562,
463.0299988,287.1980896,
463.9299927,288.1819153,
465,280.5776672,
466.0599976,273.4922791,
466.9599915,272.1696472,
468.0299988,276.8309937,
468.9299927,262.03125,
470,263.5630493,
471.0400085,263.5493164,
471.9400024,259.0107422,
472.980011,253.3927612,
474.019989,242.3596649,
475.0700073,245.1353912,
475.9700012,243.6662903,
477.0100098,238.2609558,
478.0499878,230.0027924,
478.9500122,232.5053253,
480,219.3789978,
481.0400085,217.153244,
481.9400024,216.6222534,
482.980011,205.1613312,
484.019989,202.1849518,
485.0700073,200.2988892,
485.9700012,195.881012,
487.0100098,186.8398743,
488.0499878,185.4543762,
488.9500122,182.2809448,
490,170.1815338,
491.0599976,173.4681549,
491.9599915,164.1756439,
493.0299988,168.3728638,
493.9299927,158.0743561,
495,153.6218414,
496.0599976,151.8435516,
496.9599915,149.7507935,
498.0299988,144.3319397,
498.9299927,139.0357208,
500,142.8852234,
501.0400085,131.7048492,
501.9400024,131.4716339,
502.980011,127.6983643,
504.019989,122.8089066,
505.0700073,120.3087006,
505.9700012,118.7037811,
507.0100098,115.869812,
508.0499878,113.1130981,
508.9500122,107.7431412,
510,103.3237991,
511.0400085,99.33071136,
511.9400024,100.2831879,
512.9799805,93.87016296,
514.0200195,94.29118347,
515.0700073,90.70548248,
515.9699707,88.2896347,
517.0100098,83.79192352,
518.0499878,79.42149353,
518.9500122,79.39400482,
520,76.84565735,
521.0200195,72.97331238,
522.0499878,73.17073059,
522.9400024,69.92211914,
523.9699707,65.9130249,
525,67.24734497,
526.0200195,61.76087952,
527.0499878,61.92002487,
527.9400024,57.64146805,
528.9699707,59.80287552,
530,55.87416458,
531.039978,56.40869522,
531.9400024,52.06537247,
532.9799805,50.64245605,
534.0200195,49.06581497,
535.0700073,46.05142212,
535.9699707,45.22422028,
537.0100098,41.26079941,
538.0499878,42.97449112,
538.9500122,41.03536224,
540,40.13996506,
541.0200195,37.99716187,
542.0499878,37.49726105,
542.9400024,36.35537338,
543.9699707,34.90309143,
545,33.96932983,
546.0200195,30.37437439,
547.0499878,33.63173676,
547.9400024,29.87445068,
548.9699707,29.48316765,
550,28.07656479,
551.039978,26.22319221,
551.9400024,27.2131691,
552.9799805,25.51445389,
554.0200195,24.67730331,
555.0700073,22.40913582,
555.9699707,23.2845726,
557.0100098,22.60866928,
558.0499878,22.30122948,
558.9500122,22.35982513,
560,19.83896065,
561.0200195,19.38565636,
562.0499878,18.00502968,
562.9400024,18.6187191,
563.9699707,18.86530304,
565,16.60194969,
566.0200195,16.70463181,
567.0499878,15.68332291,
567.9400024,17.37267113,
568.9699707,16.57776451,
570,15.41180038,
571.0200195,14.8778553,
572.0499878,14.06598759,
572.9400024,13.3738699,
573.9699707,12.0676403,
575,11.80633926,
576.0200195,12.51469517,
577.0499878,11.85788822,
577.9400024,10.89473629,
578.9699707,10.60890484,
580,8.792977333,

C4,
C4
Collection Time: 10/30/2025 5:23:04 PM
Operator Name  :
Scan Software Version: 1.2(147)
Parameter List :
Instrument                        Cary Eclipse
Instrument Serial Number          MY14470004
Data mode                         Fluorescence
Scan mode                         Emission
X Mode                            Wavelength (nm)
Start (nm)                        380.00
Stop (nm)                         580.00
Ex. Wavelength (nm)               350.00
Ex. Slit (nm)                     2.5
Em. Slit (nm)                     5
Scan rate (nm/min)                600.00
Data interval (nm)                1.0000
Averaging Time (s)                0.1000
Excitation filter                 Auto
Emission filter                   Open
PMT voltage (V)                   Medium
Corrected spectra                 OFF
Method Log     :
Method Name    : C:\Users\Public\Documents\Agilent\Cary Eclipse WInFLR\Default.FMSW
Date/Time stamp: 10/30/2025 2:51:52 PM
Method Modifications:
Overlayed Graphs Changed: 10/30/2025 2:52:11 PM, Old:OFF, New:ON
Autoconvert Changed: 10/30/2025 2:52:11 PM, Old:None, New:Ascii with Log
Ex. Slit Width (nm): Changed: 10/30/2025 2:52:11 PM, Old:5, New:2.5
Emission Wavelength Changed: 10/30/2025 2:52:11 PM, Old: 400.00, New: 380.00
Stop Wavelength Changed: 10/30/2025 2:52:11 PM, Old: 600.00, New: 580.00
Scan mode: Changed: 10/30/2025 5:02:27 PM, Old:Emission, New:Excitation
User Delta Increment Changed: 10/30/2025 5:02:27 PM, Old:  10.00, New:   0.15
Excitation Wavelength Changed: 10/30/2025 5:02:27 PM, Old: 350.00, New: 230.00
Emission Wavelength Changed: 10/30/2025 5:02:27 PM, Old: 380.00, New: 450.00
Stop Wavelength Changed: 10/30/2025 5:02:27 PM, Old: 580.00, New: 420.00
Scan mode: Changed: 10/30/2025 5:06:35 PM, Old:Excitation, New:Emission
